"File Number","Facility","City","County","Bed Size","Number of Substantiated Complaints","Sanctions/Final Orders","Fine Amount","Total Deficiencies","Class 1","Class 2","Class 3","Class 4","Unclassified","Number of Activities","Activities","Number of Nurse Availability","Nurse Availability","Number of Special Programs and Services","Special Programs and Services"
"11965027","BROOKDALE NORTH NAPLES","NAPLES","Collier","150","0","1","$650.00","1","0","0","0","0","1","1","Direct 24hr","11","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","4","Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"11965030","RIVIERA ASSISTED LIVING RESIDENCES","HOLLY HILL","Volusia","80","2","1","$500.00","8","0","0","7","0","1","1","Direct 24hr","11","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","3","Occupational Therapy|Pet Therapy|Physical Therapy"
"11965032","LILAC AT BAYVIEW (THE)","SAINT AUGUSTINE","St. Johns","69","0","2","$0.00","8","0","0","8","0","0","2","Direct Part-Time|3rd Party Part-Time","7","Arts and Crafts|Cooking Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings|Theater and Movies","4","Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"11965036","LESENDE HOME CARE, INC.","MIAMI","Miami-Dade","6","0","0","$0.00","0","0","0","0","0","0","1","None","4","Arts and Crafts|Games/Cards|Music Programs|Social Events/Outings","NR","NR"
"11965038","NOBLE HOUSE SENIOR LIVING","JACKSONVILLE","Duval","136","5","0","$0.00","6","0","0","6","0","0","1","Direct Part-Time","9","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"11965039","COVE AT THE MARBELLA THE","NAPLES","Collier","14","0","0","$0.00","0","0","0","0","0","0","1","Direct 24hr","5","Exercise Classes|Games/Cards|Social Events/Outings|Yoga|Other","NR","NR"
"11965045","SUNFLOWER'S VILLAGE ALF, LLC","MIAMI","Miami-Dade","6","3","1","$800.00","53","0","4","45","0","4","1","None","4","Arts and Crafts|Dancing|Exercise Classes|Games/Cards","NR","NR"
"11965048","MADISON AT OVIEDO","OVIEDO","Seminole","85","5","4","$11,500.00","23","0","2","17","0","4","1","Direct Part-Time","11","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Shopping|Social Events/Outings|Theater and Movies|Yoga|Other","1","Memory Care"
"11965052","PARAISO DOS GARDENIAS III LLC","SUNRISE","Broward","6","1","1","$800.00","5","0","0","1","0","4","1","None","4","Arts and Crafts|Dancing|Exercise Classes|Games/Cards","NR","NR"
"11965054","THE COLONNADE AT NORTHDALE","TAMPA","Hillsborough","125","8","0","$0.00","21","0","1","19","0","1","1","Direct Part-Time","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","3","Memory Care|Physical Therapy|Speech Therapy"
"11965056","ARDEN COURTS (FORT MYERS)","FORT MYERS","Lee","56","1","1","$0.00","4","0","0","4","0","0","1","Direct 24hr","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","2","Memory Care|Pet Therapy"
"11965060","ALEA ASSISTED LIVING FACILITIES, LLC","LAUDERHILL","Broward","8","0","1","$0.00","12","0","0","9","1","2","1","None","5","Exercise Classes|Games/Cards|Music Programs|Social Events/Outings|Theater and Movies","NR","NR"
"11965068","CARING HEARTS ASSISTED LIVING, INC","MIAMI","Miami-Dade","6","0","0","$0.00","6","0","0","5","0","1","1","None","6","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings","1","Memory Care"
"11965079","LINDSAY'S ALTERNATIVE CARE, INC.","CORAL SPRINGS","Broward","6","0","1","$10,000.00","7","0","0","2","4","1","1","Direct Part-Time","4","Arts and Crafts|Games/Cards|Music Programs|Theater and Movies","1","Physical Therapy"
"11965083","ISLAND SPLENDOR ASSISTED LIVING","LARGO","Pinellas","6","0","0","$0.00","0","0","0","0","0","0","1","None","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"11965085","ANGELS HOME INC (THE)","MIAMI","Miami-Dade","6","0","3","$1,850.00","14","0","0","11","0","3","1","None","6","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings","NR","NR"
